NAȘTERI - STAREA CIVILĂ
[],[],[]
 ,PRIMIRI,ELIBERĂRI
LUNI,08:30-12:30, 
MARȚI,14:00-16:15, 
MIERCURI, ,08:30-12:30
JOI,"09:30-11:00
14:00-18:30", 
VINERI, ,08:30-12:30
CĂSĂTORII - STAREA CIVILĂ
VINERI, ,08:30-12:30
 ,PRIMIRI,OFICIERI
LUNI,08:30-12:30,13:00-14:00
MARȚI,14:00-16:15,13:00-14:00
MIERCURI,08:30-12:30,13:00-14:00
JOI,14:00-18:30,11:00-12:30
VINERI,08:30-12:30,13:00-14:00
DECESE - STAREA CIVILĂ
LUNI,08:30-12:30 / 13:00-16:15,13:00-14:00
MARȚI,08:30-12:30 / 13:00-16:15,13:00-14:00
MIERCURI,08:30-12:30 / 13:00-16:15,13:00-14:00
JOI,08:30-12:30 / 13:00-16:15,13:00-14:00
VINERI,08:30-12:30 / 13:00-16:15,13:00-14:00
SÂMBĂTĂ,08:00-12:00,13:00-14:00
"DUPLICATE, DOVEZI DE STARE CIVILĂ, ANEXA 9"
SÂMBĂTĂ,08:00-12:00,13:00-14:00
 ,PRIMIRI,ELIBERĂRI
LUNI,14:00-16:15, 
MARȚI,08:30-12:30, 
MIERCURI, ,14:00-16:15
JOI,13:00-18.30,13:00-18.30
VINERI, ,09:00-12:30
ANEXA 24 - STAREA CIVILĂ
MARȚI,08:30-12:30,09:00-12:30
MIERCURI,08:30-12:30,09:00-12:30
VINERI,09:00-12:30,09:00-12:30
TRANSCRIERI - STAREA CIVILĂ
VINERI,09:00-12:30,09:00-12:30
 ,PRIMIRI,ELIBERĂRI
LUNI, ,14:00-16:15
MARȚI, ,08:30-12:30
MIERCURI,14:00-16:15, 
JOI,13:00-18:30, 
VINERI,08:30-12:30, 
"ACTE SPECIALE (rectificări, schimbări de nume, înscrieri mențiuni din străinătate), DIVORȚURI ADMINISTRATIVE, REGISTRATURA"
LUNI,08:30-12:30, 
MARȚI,14:00-16:15, 
MIERCURI,08:30-12:30, 
JOI,14:00-18:30, 
VINERI,08:30-12:30, 
"EVIDENŢA PERSOANELOR (BULETINE)
PRIMIRI CERERI / ELIBERĂRI / CASIERIE"
LUNI,08.30 - 16.00, 
MARȚI,08.30 - 16.00, 
MIERCURI,08.30 - 16.00, 
JOI,10:30 - 18.00, 
VINERI,08.30 - 13.30, 
